code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.01083,TG SMART ENERGY,3.39,7.847,0.483,2994751,0.544,21.4224
HK.00746,L & M CHEMICAL,5.0,7.385,0.651,600000,0.886,21.3972
HK.01478,Q TECH,7.66,5.51,1.282,4370000,0.76,21.386400000000002
HK.02005,SSY GROUP,2.39,6.53,0.952,2756000,0.349,21.368399999999998
HK.02356,DAHSING BANKING,11.71,7.987,0.472,923997,0.833,21.358199999999997
HK.01979,TEN PAO GROUP,2.28,6.178,1.076,940142,0.416,21.356399999999997
HK.01919,COSCO SHIP HOLD,15.06,6.75,0.896,25236676,0.618,21.3372
HK.06168,ZHOU LIU FU,20.3,10.485,1.901,521900,1.086,21.2872
HK.01038,CKI HOLDINGS,62.8,19.146,1.237,4513438,1.536,21.2858
HK.00836,CHINA RES POWER,19.2,6.847,0.893,13166478,0.641,21.284399999999998
HK.02196,FOSUN PHARMA,18.82,13.414,0.928,2683000,1.106,21.2812
HK.00902,HUANENG POWER,6.2,6.048,1.238,42087940,0.798,21.142799999999998
HK.02488,LAUNCH TECH,8.28,8.912,2.509,673500,1.319,21.136599999999998
HK.01199,COSCO SHIP PORT,5.24,8.548,0.415,6605856,0.531,21.1242
HK.00636,KLN,6.59,7.725,0.7,839000,0.726,21.104999999999997
HK.01024,KUAISHOU-W,46.0,9.714,2.273,192368011,3.885,21.080199999999998
HK.03369,QHD PORT,2.43,8.046,0.611,989500,0.568,21.0726
HK.03360,FE HORIZON,7.28,8.125,0.608,5226163,0.691,21.0306
HK.02607,SH PHARMA,11.28,8.506,0.503,1853700,0.771,20.991
HK.03877,CSSC SHIPPING,2.4,7.058,1.023,8068000,0.615,20.923800000000004
HK.01789,AK MEDICAL,5.81,17.395,2.025,6782000,2.022,20.918
HK.00148,KINGBOARD HLDG,33.66,8.476,0.576,3367601,0.531,20.877599999999997
HK.00551,YUE YUEN IND,15.22,8.235,0.679,2608000,0.203,20.8368
HK.01099,SINOPHARM,20.8,8.195,0.698,6017328,0.802,20.8266
HK.01851,GINGKO EDU,3.91,11.812,1.717,1682000,1.038,20.8222
HK.00144,CHINA MER PORT,15.97,8.467,0.622,2143422,0.47,20.8002
HK.01045,APT SATELLITE,3.37,22.171,0.507,6796029,1.709,20.784800000000004
HK.02302,CNNC INT'L,5.6,14.249,3.153,3955300,2.358,20.775199999999998
HK.00598,SINOTRANS,4.85,8.22,0.798,2062225,0.455,20.631600000000002
HK.06198,QINGDAO PORT,6.99,8.025,0.913,1543060,0.501,20.541600000000003
HK.02128,CHINA LESSO,5.25,8.959,0.61,5232000,0.408,20.5266
HK.01712,DRAGON MINING,8.95,5.43,1.788,1636000,0.709,20.523600000000002
HK.02318,PING AN,59.15,7.834,0.991,51338605,0.999,20.5158
HK.00316,OOIL,144.5,8.102,0.914,897027,0.576,20.493599999999997
HK.03968,CM BANK,49.22,7.746,1.039,10532042,0.705,20.4822
HK.00696,TRAVELSKY TECH,10.61,13.869,1.226,12220200,1.23,20.4718
HK.06099,CMSC,13.01,8.307,0.878,1878400,0.488,20.435399999999998
HK.03969,CHINA CRSC,3.42,8.883,0.69,5822000,0.64,20.4282
HK.01666,TONG REN TANG,3.99,9.068,0.638,605000,0.467,20.4108
HK.00511,TVB,2.87,22.598,0.574,1603100,2.178,20.408
HK.02333,GWMOTOR,12.26,7.652,1.112,11521391,0.827,20.4072
HK.06831,GREEN TEA GROUP,7.8,9.641,2.677,4999849,1.431,20.396800000000002
HK.06098,CG SERVICES,5.77,9.616,0.467,6793303,0.815,20.3898
HK.09961,TRIP.COM-S,392.2,6.954,1.355,1449793,0.551,20.388599999999997
