code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SZ.002948,Bank of Qingdao,5.11,6.971,0.749,37634070,0.843,21.4692
SH.601009,Bank Of Nanjing,11.25,6.893,0.78,37198343,0.797,21.460199999999997
SZ.002304,Jiangsu Yanghe Distillery,49.88,11.259,1.547,5071247,1.056,21.46
SH.601398,Industrial and Commercial Bank of China,7.42,7.224,0.7,263470756,0.607,21.4056
SH.600717,Tianjin Port Holdings,4.74,13.982,0.682,35245542,1.095,21.3832
SH.600036,China Merchants Bank,39.56,6.723,0.937,61679007,0.882,21.2796
SH.601939,China Construction Bank Corporation,9.44,7.357,0.729,89586757,0.766,21.273600000000002
SH.601988,Bank Of China,5.58,7.56,0.681,275051317,0.824,21.2382
SH.601326,Qinhuangdao Port,3.75,13.392,1.033,59669717,1.218,21.1054
SZ.002061,Zhejiang Communications Technology,3.88,7.918,0.657,25597389,0.707,21.0666
SH.600926,Bank Of Hangzhou,16.69,7.123,0.929,23032943,0.736,21.054
SH.600548,Shenzhen Expressway Corporation,9.18,20.264,1.011,22515573,1.92,21.0218
SH.601187,"Xiamen Bank Co.,Ltd.",7.54,7.67,0.767,15165784,0.703,21.0174
SZ.000897,Tianjin Jinbin Development,2.11,6.719,1.11,41038300,0.933,20.9706
SH.600216,Zhejiang Medicine,15.39,12.75,1.338,34845041,1.171,20.941599999999998
SH.600508,Shanghai Datun Energy Resources,14.26,14.404,0.804,26102700,1.328,20.9104
SZ.002142,Bank Of Ningbo,30.42,7.405,0.93,13886225,0.598,20.883
SH.600585,Anhui Conch Cement,22.93,14.977,0.631,35515832,1.237,20.878
SH.600008,Beijing Capital Eco-Environment Protection Group,3.25,6.756,1.158,109271838,0.845,20.862
SH.600035,Hubei Chutian Smart Communication,3.89,8.155,0.703,12815801,0.803,20.841599999999996
SH.603368,Guangxi LiuYao Group,16.63,7.727,0.86,2981000,0.626,20.8158
SZ.000791,Gepic Energy Development,8.96,17.672,1.991,178237155,1.568,20.812999999999995
SH.600985,Huaibei Mining Holdings,13.78,7.642,0.896,20274191,0.618,20.802
SH.600153,Xiamen C&D Inc.,9.05,8.907,0.476,12872762,0.653,20.799
SZ.000883,Hubei Energy Group,5.3,20.703,0.995,116536710,1.544,20.7872
SH.600039,Sichuan Road & Bridge Group,9.91,11.954,1.732,21044014,1.04,20.71
SH.600064,Nanjing Gaoke,8.28,8.304,0.727,11767348,0.555,20.709
SH.600018,Shanghai International Port,5.12,7.975,0.858,41604554,0.67,20.6706
SZ.000728,Guoyuan,7.51,14.61,0.872,35168557,1.185,20.6644
SH.600269,Jiangxi Ganyue Expressway,4.87,8.886,0.571,18392700,0.814,20.640599999999996
SH.601288,Agricultural Bank Of China,6.51,8.076,0.844,224826856,0.558,20.635199999999998
SH.601919,COSCO Shipping Holdings,15.26,7.569,1.017,81051623,0.649,20.628
SH.601669,"Power Construction Corporation of China,Ltd(POWERCHINA",5.95,8.536,0.712,440797949,0.786,20.5968
SZ.002078,Shandong Sun Paper,14.7,13.243,1.374,25767632,1.228,20.581
SZ.000885,CEVIA Enviro Inc.,13.85,7.789,0.97,5934300,0.753,20.5806
SH.603128,CTS International Logistics Corporation,5.68,13.786,1.226,19071310,1.445,20.5216
SH.600583,Offshore Oil Engineering,6.72,14.267,1.117,112592016,1.164,20.429199999999998
SH.600017,"Rizhao Port Co.,Ltd.",3.29,15.446,0.725,90019896,1.447,20.4274
SZ.000544,Central Plains Environment Protection,8.68,8.196,0.932,5995873,0.715,20.404799999999998
SZ.300441,Ningbo BaoSi Energy Equipment,7.09,5.487,1.849,3405474,0.414,20.379599999999996
SH.603995,Yongjin Technology Group,17.11,7.77,1.094,2262650,0.472,20.3688
SH.600741,Huayu Automotive Systems,18.01,8.487,0.877,7836924,0.679,20.329199999999997
SH.601618,Metallurgical Corporation of China,3.04,9.325,0.603,123305308,0.587,20.319599999999998
SH.601702,Shanghai Huafon Aluminium Corporation,18.88,15.681,2.93,14778600,1.85,20.3174
SH.600729,Chongqing Department Store,22.1,7.403,1.246,2230330,0.652,20.3154
SH.601117,China National Chemical Engineering,9.13,8.662,0.829,136380633,0.863,20.310599999999997
SZ.000651,"Gree Electric Appliances,Inc.of Zhuhai",37.94,6.602,1.53,19284413,0.505,20.2848
SZ.000776,GF securities,18.12,14.707,1.086,40874697,1.016,20.220999999999997
SH.900948,Inner Mongolia Yitai Coal,2.125,8.817,0.903,2107685,0.712,20.0844
SH.600694,"Dashang Co.,Ltd.",16.42,9.647,0.643,2203737,0.677,20.054399999999998
SZ.002832,Biem.L.Fdlkk Garment,17.52,12.807,1.832,11845001,1.166,20.0182
SH.600827,Shanghai Bailian Group,8.31,9.453,0.747,5970070,0.741,19.9836
SH.600368,Guangxi Wuzhou Communications,3.93,9.055,0.882,16085447,0.89,19.9794
SH.601666,"Pingdingshan Tianan Coal. MiningCo.,Ltd.",8.53,8.969,0.917,36528277,0.673,19.968
SH.600894,Guangzhou Guangri Stock,8.76,9.192,0.865,3052640,0.507,19.927799999999994
SZ.002393,Tianjin Lisheng Pharmaceutical,23.43,14.498,1.326,9143243,1.186,19.9144
SZ.002731,Shenyang Cuihua Gold and Silver Jewelry,7.42,8.77,1.016,22247550,0.898,19.909200000000002
SH.600528,China Railway Hi-tech Industry Corporation,7.79,9.774,0.697,13594609,0.58,19.880999999999997
SH.600720,CCCC Design & Consulting Group,6.74,8.833,1.013,7463330,0.638,19.8768
SH.603299,Jiang Su Suyan Jingshen,11.59,14.397,1.392,11157615,1.032,19.8562
SH.600325,Zhuhai Huafa Properties,3.62,10.462,0.524,31425446,0.831,19.7796
SZ.000521,Changhong Meiling,6.13,9.027,1.016,7614864,0.729,19.755
SH.601002,Gem-Year Industrial,5.53,21.771,1.219,53129329,2.096,19.7432
SZ.000731,Sichuan Meifeng Chemical Industry,7.69,15.535,1.079,52200443,1.289,19.736800000000002
SZ.002984,Qingdao Sentury Tire,17.24,8.17,1.319,10910728,0.887,19.723799999999997
SH.603357,Anhui Transport Consulting & Design Institute,7.96,8.699,1.16,4887985,0.417,19.6926
SH.601555,Soochow,7.69,16.155,0.918,68959109,1.133,19.654600000000002
SH.600582,Tiandi Science & Technology,5.93,9.368,0.962,29722650,0.621,19.647599999999997
SH.603518,Jinhong Fashion Group,8.69,9.797,0.826,4708506,0.749,19.635
SH.600020,Henan Zhongyuan Expressway,3.94,10.051,0.744,17403200,0.977,19.6302
SZ.300833,Guangzhou Haoyang Electronic,32.99,13.832,1.725,1227800,1.148,19.595799999999997
SH.601918,China Coal Xinji Energy,7.93,8.582,1.259,65853331,0.929,19.5846
SH.601163,Triangle Tyre,13.9,10.087,0.81,3088026,0.608,19.4898
SZ.000090,Shenzhen Tagen Group,3.59,10.813,0.594,21769436,0.673,19.443
SZ.300388,CECEP Guozhen Environmental Protection Technology,8.27,15.812,1.196,8624123,1.243,19.36
SZ.000786,Beijing New Building Materials Public,25.18,14.751,1.577,15801868,1.134,19.3108
SH.600976,Jianmin Pharmaceutical Group,32.61,13.9,1.883,3764947,1.011,19.2706
SH.603227,Xinjiang Xuefeng Sci-Tech,9.56,20.34,1.984,71565275,1.941,19.2248
SZ.002120,YUNDA Holding Group,6.69,10.136,0.952,23581064,0.841,19.204799999999995
SH.600853,Long Jian Road & Bridge,3.88,9.533,1.153,11712059,0.724,19.204799999999995
SH.603589,Anhui Kouzi Distillery,24.42,8.825,1.394,3147494,0.794,19.1958
SH.600998,Jointown Pharmaceutical Group,5.05,10.16,0.961,24219349,0.714,19.1742
SH.601113,Yiwu Huading Nylon,4.25,9.593,1.181,10942500,0.698,19.1184
SZ.300384,Beijing Sanlian Hope Shin-Gosen Technical Service,14.88,14.909,1.717,6278695,1.136,18.964
SH.600888,Xinjiang Joinworld,8.06,10.4,1.002,30369937,0.567,18.9564
SH.601677,Henan Mingtai Al.Industrial,14.7,10.455,0.984,17849669,0.663,18.9558
SH.603599,Anhui Guangxin Agrochemical,13.93,16.273,1.271,23100000,1.337,18.9484
SZ.000906,Zheshang Development Group,5.67,10.903,0.846,7727779,0.859,18.9354
SZ.000598,Chengdu Xingrong Environment,6.91,10.328,1.058,25460148,0.639,18.8988
SH.601518,Jilin Expressway,3.01,10.561,1.012,23300205,0.931,18.8418
SH.600170,Shanghai Construction Group,2.76,11.311,0.777,168314192,0.803,18.814799999999998
SH.600284,Shanghai Pudong Construction,6.83,11.16,0.848,9908160,0.748,18.7776
SZ.002251,Better Life Commercial ChainShare,4.3,9.534,1.408,46105985,0.693,18.7452
SH.600987,Zhejiang Hangmin,7.28,10.326,1.152,7107399,0.667,18.7308
SZ.000900,Xiandai Investment,4.22,18.755,0.575,21524845,1.008,18.712000000000003
SH.601598,Sinotrans Limited,5.81,10.641,1.061,10671642,0.644,18.7056
