code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.09992,POP MART,149.5,14.174,8.128,96862746,2.584,17.4956
HK.02555,CHABAIDAO,5.71,16.55,2.024,1582200,1.306,17.4268
HK.03908,CICC,17.35,13.618,0.783,10128550,0.665,17.419799999999995
HK.02020,ANTA SPORTS,75.25,13.989,2.889,13027695,1.366,17.406399999999998
HK.02155,MORIMATSU INTL,6.47,12.138,1.299,10256094,0.491,17.379
HK.03759,PHARMARON,17.76,16.786,2.03,4643500,1.034,17.2744
HK.01093,CSPC PHARMA,8.17,21.903,2.562,225472921,2.521,17.2466
HK.09896,MNSO,31.22,13.387,3.215,3382402,1.431,17.180799999999998
HK.00066,MTR CORPORATION,32.12,13.621,1.04,4597462,0.619,16.9554
HK.00386,SINOPEC CORP,4.47,15.05,0.59,241694733,0.974,16.907999999999998
HK.02175,CH GENERAL EDU,3.5,21.084,0.852,1398000,7.549,16.816
HK.00992,LENOVO GROUP,9.35,10.771,2.107,59225500,0.712,16.7448
HK.02618,JD LOGISTICS,13.82,12.529,1.523,8931735,0.657,16.7412
HK.00788,CHINA TOWER,10.76,14.699,0.838,11847506,0.547,16.6722
HK.06069,SY HOLDINGS,9.02,18.112,1.984,7242500,1.097,16.5616
HK.02419,DEKON AGR,66.65,16.236,2.628,2411500,1.251,16.528
HK.02460,CR BEVERAGE,8.94,12.13,1.799,1665000,0.399,16.4838
HK.06110,TOPSPORTS,2.77,12.311,1.744,5984000,0.564,16.4742
HK.02313,SHENZHOU INTL,52.75,11.766,1.956,3910826,0.602,16.4196
HK.00005,HSBC HOLDINGS,124.7,13.042,1.55,11929595,0.541,16.3848
HK.02610,NANSHAN AL INTL,54.4,10.821,2.383,608620,0.286,16.218
HK.02651,DAZHONG DENTAL,11.72,12.78,3.986,5336800,5.427,16.157199999999996
HK.03978,BESTSTUDY EDU,3.43,8.705,3.146,1653000,0.704,16.1142
HK.00868,XINYI GLASS,10.14,14.846,1.1,3815697,0.145,16.112399999999997
HK.02869,GREENTOWN SER,4.28,13.762,1.522,2211000,0.38,16.003199999999996
HK.00175,GEELY AUTO,20.56,11.891,2.169,90777719,0.555,15.961200000000002
HK.02689,ND PAPER,6.88,16.658,0.593,10723000,0.871,15.9378
HK.06030,CITIC SEC,23.72,15.003,1.145,7242200,0.531,15.9372
HK.00371,BJ ENT WATER,2.74,15.93,0.898,28364024,0.999,15.825599999999998
HK.09618,JD-SW,113.1,14.768,1.288,14461519,0.959,15.820799999999997
HK.02018,AAC TECH,34.4,14.423,1.487,3749961,0.408,15.669599999999999
HK.00425,MINTH GROUP,35.76,14.056,1.61,7049894,0.88,15.668399999999998
HK.01171,YANKUANG ENERGY,15.92,10.529,2.795,32405590,0.421,15.651599999999998
HK.02611,GTHT,13.48,16.892,0.69,10485316,0.935,15.622800000000002
HK.00270,GUANGDONG INV,7.49,15.571,1.172,12196500,0.919,15.547799999999999
HK.00354,CHINASOFT INT'L,3.45,16.995,0.734,24004000,0.743,15.481799999999998
HK.01364,GUMING,25.48,17.608,9.398,19130222,1.795,15.435199999999998
HK.00151,WANT WANT CHINA,4.48,11.256,2.706,4406602,0.708,15.375599999999999
HK.00659,CTF SERVICES,7.9,16.666,0.929,1034124,0.418,15.328199999999997
HK.00667,CHINA EAST EDU,5.37,14.244,1.748,3018500,0.452,15.3072
HK.00991,DATANG POWER,2.77,15.561,1.333,26941000,0.756,15.263999999999998
HK.01913,PRADA,38.56,12.7,2.33,600518,0.249,15.186
HK.02186,LUYE PHARMA,2.3,17.968,0.588,7946500,0.471,15.1608
HK.00027,GALAXY ENT,34.78,14.271,1.831,8179798,0.711,15.141599999999997
HK.02039,CIMC,10.12,16.81,1.013,1279800,0.384,15.090599999999998
HK.02192,MEDLIVE,7.7,16.702,1.072,2280954,0.994,15.049199999999999
HK.03600,MODERN DENTAL,6.18,14.174,1.932,526000,0.574,15.018
HK.00168,TSINGTAO BREW,48.8,14.19,1.939,2228066,0.6,14.995800000000001
HK.03998,BOSIDENG,3.96,12.147,2.636,17361579,0.706,14.966999999999999
HK.06936,SF HOLDING,33.46,15.355,1.567,1698220,0.812,14.966399999999998
HK.02057,ZTO EXPRESS-W,187.8,14.266,1.951,1574309,0.613,14.9286
HK.01579,YIHAI INTL,15.94,17.478,3.127,6942000,1.059,14.8846
HK.01299,AIA,86.7,18.778,2.707,32648835,1.006,14.8606
HK.01378,CHINAHONGQIAO,33.66,13.399,2.288,52021766,0.632,14.842199999999998
HK.00001,CKH HOLDINGS,59.15,19.13,0.402,3187051,0.252,14.7984
HK.06060,ZA ONLINE,13.18,18.204,0.788,6332868,0.371,14.659199999999998
HK.02714,MUYUAN,40.56,12.125,2.818,2342200,0.849,14.6526
HK.01686,SUNEVISION,5.69,13.71,2.304,4106216,0.229,14.6268
