code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SH.603995,Yongjin Technology Group,17.11,7.77,1.094,2262650,0.472,27.1584
SH.603299,Jiang Su Suyan Jingshen,11.59,14.397,1.392,11157615,1.032,27.1416
SH.600741,Huayu Automotive Systems,18.01,8.487,0.877,7836924,0.679,27.1056
SH.601618,Metallurgical Corporation of China,3.04,9.325,0.603,123305308,0.587,27.0928
SH.600729,Chongqing Department Store,22.1,7.403,1.246,2230330,0.652,27.087200000000003
SH.601117,China National Chemical Engineering,9.13,8.662,0.829,136380633,0.863,27.0808
SZ.000651,"Gree Electric Appliances,Inc.of Zhuhai",37.94,6.602,1.53,19284413,0.505,27.046400000000002
SZ.000731,Sichuan Meifeng Chemical Industry,7.69,15.535,1.079,52200443,1.289,26.982400000000002
SH.603227,Xinjiang Xuefeng Sci-Tech,9.56,20.34,1.984,71565275,1.941,26.9664
SH.601555,Soochow,7.69,16.155,0.918,68959109,1.133,26.8728
SZ.300833,Guangzhou Haoyang Electronic,32.99,13.832,1.725,1227800,1.148,26.7944
SH.900948,Inner Mongolia Yitai Coal,2.125,8.817,0.903,2107685,0.712,26.7792
SH.600694,"Dashang Co.,Ltd.",16.42,9.647,0.643,2203737,0.677,26.7392
SH.600827,Shanghai Bailian Group,8.31,9.453,0.747,5970070,0.741,26.6448
SH.600368,Guangxi Wuzhou Communications,3.93,9.055,0.882,16085447,0.89,26.639200000000002
SH.601666,"Pingdingshan Tianan Coal. MiningCo.,Ltd.",8.53,8.969,0.917,36528277,0.673,26.624000000000002
SH.600894,Guangzhou Guangri Stock,8.76,9.192,0.865,3052640,0.507,26.570399999999996
SZ.002731,Shenyang Cuihua Gold and Silver Jewelry,7.42,8.77,1.016,22247550,0.898,26.545600000000004
SH.600528,China Railway Hi-tech Industry Corporation,7.79,9.774,0.697,13594609,0.58,26.508
SH.600720,CCCC Design & Consulting Group,6.74,8.833,1.013,7463330,0.638,26.5024
SZ.300388,CECEP Guozhen Environmental Protection Technology,8.27,15.812,1.196,8624123,1.243,26.480000000000004
SZ.000786,Beijing New Building Materials Public,25.18,14.751,1.577,15801868,1.134,26.4144
SH.600325,Zhuhai Huafa Properties,3.62,10.462,0.524,31425446,0.831,26.3728
SH.600976,Jianmin Pharmaceutical Group,32.61,13.9,1.883,3764947,1.011,26.3608
SZ.000521,Changhong Meiling,6.13,9.027,1.016,7614864,0.729,26.34
SZ.002984,Qingdao Sentury Tire,17.24,8.17,1.319,10910728,0.887,26.2984
SH.603357,Anhui Transport Consulting & Design Institute,7.96,8.699,1.16,4887985,0.417,26.2568
SH.600125,China Railway Tielong Container Logistics,6.93,23.651,1.182,78369641,2.432,26.242399999999996
SZ.002216,"Sanquan Food Co.,Ltd",12.35,20.016,2.398,16391407,1.69,26.232
SH.600582,Tiandi Science & Technology,5.93,9.368,0.962,29722650,0.621,26.196799999999996
SH.603518,Jinhong Fashion Group,8.69,9.797,0.826,4708506,0.749,26.180000000000003
SH.600020,Henan Zhongyuan Expressway,3.94,10.051,0.744,17403200,0.977,26.1736
SH.601918,China Coal Xinji Energy,7.93,8.582,1.259,65853331,0.929,26.1128
SH.601163,Triangle Tyre,13.9,10.087,0.81,3088026,0.608,25.9864
SZ.300384,Beijing Sanlian Hope Shin-Gosen Technical Service,14.88,14.909,1.717,6278695,1.136,25.951999999999998
SH.603599,Anhui Guangxin Agrochemical,13.93,16.273,1.271,23100000,1.337,25.931200000000004
SZ.000090,Shenzhen Tagen Group,3.59,10.813,0.594,21769436,0.673,25.924000000000003
SZ.000899,Jiangxi Ganneng,15.17,20.724,2.346,116206684,2.134,25.790399999999998
SZ.000900,Xiandai Investment,4.22,18.755,0.575,21524845,1.008,25.616000000000003
SH.600853,Long Jian Road & Bridge,3.88,9.533,1.153,11712059,0.724,25.606399999999997
SZ.002120,YUNDA Holding Group,6.69,10.136,0.952,23581064,0.841,25.606399999999997
SH.603589,Anhui Kouzi Distillery,24.42,8.825,1.394,3147494,0.794,25.5944
SH.600998,Jointown Pharmaceutical Group,5.05,10.16,0.961,24219349,0.714,25.565600000000003
SZ.000568,Luzhou Laojiao,101.9,11.132,3.145,7355226,1.262,25.546400000000006
SH.601113,Yiwu Huading Nylon,4.25,9.593,1.181,10942500,0.698,25.491200000000003
SH.603199,Anhui Jiuhuashan Tourism Development,39.17,20.369,2.624,4558800,1.592,25.407200000000003
SZ.300705,Hunan Jiudian Pharmaceutical,13.52,13.203,2.565,7244828,1.115,25.2816
SH.600888,Xinjiang Joinworld,8.06,10.4,1.002,30369937,0.567,25.2752
SH.601677,Henan Mingtai Al.Industrial,14.7,10.455,0.984,17849669,0.663,25.274400000000004
SZ.000906,Zheshang Development Group,5.67,10.903,0.846,7727779,0.859,25.247200000000003
SH.603339,Square Technology Group,12.63,16.488,1.5,4872528,1.415,25.209600000000002
SZ.000598,Chengdu Xingrong Environment,6.91,10.328,1.058,25460148,0.639,25.198400000000003
SH.601518,Jilin Expressway,3.01,10.561,1.012,23300205,0.931,25.1224
SZ.002468,"STO Express Co.,Ltd.",14.91,21.958,2.219,53391373,1.767,25.108000000000004
SH.600170,Shanghai Construction Group,2.76,11.311,0.777,168314192,0.803,25.0864
SH.600350,Shandong Hi-speed,10.58,16.006,1.728,11339583,1.264,25.048000000000002
SH.600284,Shanghai Pudong Construction,6.83,11.16,0.848,9908160,0.748,25.0368
SZ.002251,Better Life Commercial ChainShare,4.3,9.534,1.408,46105985,0.693,24.9936
SH.600987,Zhejiang Hangmin,7.28,10.326,1.152,7107399,0.667,24.9744
SH.601598,Sinotrans Limited,5.81,10.641,1.061,10671642,0.644,24.940800000000003
SH.605009,Hangzhou Haoyue Personal Care,28.69,15.921,1.822,1637778,1.239,24.8904
SH.603801,Zbom Home Collection,9.15,10.315,1.197,2579888,0.425,24.875200000000003
SZ.002572,Suofeiya Home Collection,12.61,8.855,1.685,5832875,0.594,24.872
SZ.000589,GuiZhou Tyre,4.58,11.565,0.804,24477114,0.745,24.8184
SZ.000597,Northeast Pharmaceutical Group,5.02,17.491,1.335,18690573,1.089,24.8032
SH.601811,Xinhua Winshare publishing & Media,13.39,10.694,1.119,3356700,0.977,24.7592
SZ.002154,Baoxiniao Holding,3.6,10.619,1.159,12358934,0.729,24.7232
SZ.000404,Changhong Huayi Compressor,7.0,10.819,1.145,10156437,0.737,24.5968
SH.601311,"Camel Group Co.,Ltd.",9.59,18.336,1.141,35741269,1.152,24.5928
SH.600757,Changjiang Publishing & Media,8.65,11.103,1.061,6684400,0.788,24.5712
SH.688425,China Railway Construction Heavy Industry Corporation Limited,4.9,17.625,1.405,35708128,1.242,24.528
SH.600511,China National Medicines Corporation,28.71,10.85,1.168,4482504,0.699,24.516800000000003
SH.601966,Shandong Linglong Tyre,14.0,11.695,0.89,6829200,0.578,24.508
SZ.002543,Guangdong Vanward New Electric,9.15,10.35,1.344,16016350,0.721,24.4944
SH.601001,Jinneng Holding Shanxi Coal Industry,16.68,9.94,1.485,24032312,0.746,24.484000000000005
SH.600713,Nanjing Pharmaceutical Group,5.05,11.582,0.948,8058901,0.695,24.4592
SH.600279,Chongqing Port,5.21,11.681,0.917,8548800,0.896,24.454400000000003
SH.603035,Jiangsu Changshu Automotive Trim Group,13.52,11.645,0.932,3742800,0.732,24.4472
SZ.000785,Easyhome New Retail Group Corporation,2.45,19.758,0.739,69555700,1.037,24.42
SH.601156,Eastern Air Logistics,17.25,10.189,1.437,5922945,0.558,24.400000000000002
SH.601298,Qingdao Port International,8.69,10.781,1.27,9659500,0.82,24.3272
SZ.000563,Shaanxi International Trust,3.36,12.0,0.907,40585658,0.531,24.223200000000002
SH.600546,Shanxi Coal International Energy Group,11.91,10.41,1.441,34016168,0.793,24.2136
SH.600282,Nanjing Iron & Steel,5.25,11.29,1.167,35948587,0.632,24.167200000000005
SZ.000921,Hisense Home Appliances Group,22.48,9.3,1.839,6813449,0.733,24.1464
SH.600461,Jiangxi Hongcheng Environment,10.03,10.819,1.334,10883400,0.921,24.143199999999997
SZ.002206,Zhejiang Hailide New Material,6.01,17.025,1.783,22843516,1.02,24.1008
SZ.002274,Jiangsu HuaChang Chemical,6.32,11.553,1.108,35443743,0.863,24.098399999999998
SH.600780,Top Energy,8.43,18.859,1.178,175926123,3.44,24.0856
SH.600639,Shanghai Jinqiao Export Processing Zone Development,11.04,12.362,0.855,8914517,0.847,24.0584
SZ.000828,Dongguan Development,10.71,11.653,1.094,5361921,0.605,24.052
SH.600566,Hubei Jumpcan Pharmaceutical,26.52,9.65,1.764,5652742,0.592,24.046400000000002
SH.600012,Anhui Expressway,15.64,16.008,2.148,8208459,1.321,24.038400000000003
SZ.000928,Sinosteel Engineering & Technology,6.72,11.546,1.141,24096121,0.732,24.0248
SH.603515,Opple Lighting,19.42,15.983,2.169,2466589,1.304,24.008
SH.601717,ZCZL Industrial Technology Group,21.91,9.945,1.689,11635193,0.702,23.9904
SZ.000411,Zhejiang Int'l Group,10.56,11.354,1.226,3112556,0.649,23.974400000000003
SZ.000581,Weifu High-Technology Group,20.69,12.05,0.996,12509332,0.669,23.9696
SZ.001872,China Merchants Port Group,22.67,12.456,0.889,2997301,0.535,23.901600000000002
SH.600048,Poly Developments and Holdings Group,5.88,14.066,0.364,82054257,0.786,23.8736
SZ.000552,Gansu Energy Chemical,2.82,12.422,0.923,119231120,0.862,23.8472
SH.600997,Kailuan Energy Chemical,6.7,13.035,0.757,28255202,0.832,23.755200000000002
SZ.000623,Jilin Aodong Pharmaceutical Group,17.26,13.307,0.675,8125672,0.684,23.7344
SH.601065,Jiangxi Salt Industry Group,8.39,11.701,1.218,8583268,0.874,23.716
SH.600332,Guangzhou Baiyunshan Pharmaceutical Holdings,22.8,12.425,0.98,16905410,0.946,23.708
SH.605166,Juheshun Advanced Material,10.04,10.524,1.621,3639500,0.619,23.6904
SH.600861,"FESCO Group Co., Ltd",16.16,11.559,1.28,2171800,0.685,23.680800000000005
SH.601101,Beijing Haohua Energy Resource,8.84,12.277,1.053,31246888,0.821,23.651200000000003
SH.688128,"China National Electric Apparatus Research Institute Co., Ltd.",24.73,21.411,3.023,6499696,2.941,23.616
SH.600167,Luenmei Quantum,7.51,25.807,1.567,61620629,2.382,23.593600000000002
SH.600420,Shanghai Shyndec Pharmaceutical,10.12,12.524,0.995,9615190,0.815,23.5928
SH.600177,Youngor Fashion,7.78,12.988,0.847,22739016,0.538,23.576800000000006
SH.600587,Shinva Medical Instrument,14.05,12.324,1.099,5404659,0.654,23.503200000000003
SH.603408,Runner,11.75,10.909,1.571,2147800,0.845,23.5024
SZ.000726,Lu Thai Textile,6.97,13.884,0.588,6987912,0.661,23.4816
SH.600612,Lao Feng Xiang,40.12,10.764,1.631,1417210,0.916,23.474400000000003
SH.600033,Fujian Expressway Development,3.76,13.192,0.839,40198996,0.891,23.4328
SH.603018,China Design Group,7.25,12.946,0.941,5767203,0.537,23.384800000000002
SZ.000030,FAWER Automotive Parts,4.97,12.646,1.048,9947780,0.759,23.368
SH.600273,Zhejiang Jiahua Energy Chemical Industry,9.03,12.153,1.216,18482388,0.679,23.3592
SH.601607,Shanghai Pharmaceuticals Holding,16.44,13.387,0.809,6238797,0.561,23.3488
SH.600886,SDIC Power Holdings,14.88,17.927,1.797,34819469,1.258,23.3456
SZ.000913,Zhejiang Qianjiang Motorcycle,14.21,11.058,1.588,3924986,0.666,23.342399999999998
