ts_code,name,industry,total_return
000705.SZ,浙江震元,医药商业,7.88834951456311
000707.SZ,双环科技,化工原料,8.596491228070178
000708.SZ,中信特钢,特种钢,41.6382252559727
000709.SZ,河钢股份,普钢,-40.0
000710.SZ,贝瑞基因,医疗保健,-81.2061206120612
000711.SZ,ST京蓝,环境保护,-69.50742767787334
000712.SZ,锦龙股份,证券,-40.34482758620689
000713.SZ,国投丰乐,种植业,-2.467343976777938
000715.SZ,中兴商业,百货,-39.35281837160752
000716.SZ,黑芝麻,食品,-4.795737122557719
000717.SZ,中南股份,普钢,-72.8249194414608
000718.SZ,苏宁环球,区域地产,-52.561247216035646
000719.SZ,中原传媒,出版业,42.36186348862405
000720.SZ,新能泰山,电气设备,10.961968680089491
000721.SZ,西安饮食,酒店餐饮,39.50617283950618
000722.SZ,湖南发展,水力发电,69.10656620021531
000723.SZ,美锦能源,焦炭加工,-28.633720930232553
000725.SZ,京东方Ａ,元器件,-31.239092495637006
000726.SZ,鲁泰Ａ,纺织,-35.64266180492252
000727.SZ,冠捷科技,元器件,6.7460317460317425
000728.SZ,国元证券,证券,-31.441441441441437
000729.SZ,燕京啤酒,啤酒,98.35082458770616
000731.SZ,四川美丰,农药化肥,-7.608695652173901
000733.SZ,振华科技,元器件,207.65100671140942
000735.SZ,罗牛山,农业综合,-13.544303797468357
000736.SZ,*ST中地,全国地产,-69.74389517569982
000737.SZ,北方铜业,铜,178.5862785862786
000738.SZ,航发控制,航空,42.35523747560182
000739.SZ,普洛药业,化学制药,175.07692307692307
000750.SZ,国海证券,证券,-21.862348178137662
000751.SZ,锌业股份,铅锌,4.633204633204638
000752.SZ,ST西发,啤酒,-22.20609579100144
000753.SZ,漳州发展,综合类,87.76041666666667
000755.SZ,山西高速,路桥,-22.28739002932552
000756.SZ,新华制药,化学制药,8.345323741007196
000757.SZ,浩物股份,汽车服务,-37.38680465717982
000758.SZ,中色股份,铅锌,3.7151702786377743
000759.SZ,中百集团,超市连锁,-40.563086548488
000761.SZ,本钢板材,普钢,-37.89868667917448
000762.SZ,西藏矿业,小金属,94.95268138801262
000766.SZ,通化金马,化学制药,59.885620915032675
000767.SZ,晋控电力,火力发电,54.20875420875421
000768.SZ,中航西飞,航空,46.86951433586894
000776.SZ,广发证券,证券,6.253652834599651
